applicant_id,age,score,monthly_income,dti,late_payments,risk_grade,recommendation,age_group
A0456,66,661,3397.53,13.14,1,B,APPROVE,61-70
A0457,22,333,16919.68,43.18,1,E,DENY,18-30
A0458,37,266,8280.02,41.74,4,E,DENY,31-40
A0459,60,206,11388.79,6.88,3,E,DENY,51-60
A0460,26,725,16300.74,18.55,4,B,APPROVE,18-30
A0461,43,272,17918.78,21.21,2,E,DENY,41-50
A0462,50,598,8206.07,14.56,1,C,REVIEW,41-50
A0463,24,604,10313.18,30.15,2,C,REVIEW,18-30
A0464,33,874,9461.29,30.62,4,A,APPROVE,31-40
A0465,47,777,2238.52,39.02,3,B,APPROVE,41-50
A0466,37,329,7326.97,34.63,4,E,DENY,31-40
A0467,58,665,10265.41,26.7,3,B,APPROVE,51-60
A0468,43,405,9399.68,31.14,3,D,REVIEW,41-50
A0469,50,465,14994.73,15.96,0,D,REVIEW,41-50
A0470,35,736,8926.47,28.72,1,B,APPROVE,31-40
A0471,49,452,10808.78,24.57,4,D,REVIEW,41-50
A0472,26,488,9732.95,10.33,3,D,REVIEW,18-30
A0473,68,363,15331.27,14.7,4,D,DENY,61-70
A0474,51,294,17533.5,16.67,4,E,DENY,51-60
A0475,67,309,11574.0,41.97,3,E,DENY,61-70
A0476,26,535,16209.78,14.22,2,C,REVIEW,18-30
A0477,33,437,7342.16,16.57,1,D,REVIEW,31-40
A0478,37,580,11744.65,19.77,1,C,REVIEW,31-40
A0479,47,635,8214.14,31.55,0,C,REVIEW,41-50
A0480,47,682,9455.62,9.73,0,B,APPROVE,41-50
A0481,69,224,15183.45,43.16,0,E,DENY,61-70
A0482,42,852,17869.92,39.62,1,A,APPROVE,41-50
A0483,60,316,4186.92,28.09,2,E,DENY,51-60
A0484,57,681,13423.51,31.96,1,B,APPROVE,51-60
A0485,54,591,12478.59,5.67,1,C,REVIEW,51-60
A0486,51,736,4131.47,18.56,1,B,APPROVE,51-60
A0487,58,278,5814.1,36.83,1,E,DENY,51-60
A0488,44,779,7598.04,8.1,2,B,APPROVE,41-50
A0489,31,372,5004.76,16.29,0,D,DENY,31-40
A0490,26,211,6387.13,28.41,4,E,DENY,18-30
A0491,57,327,6816.81,15.26,0,E,DENY,51-60
A0492,55,807,8042.13,42.36,0,A,APPROVE,51-60
A0493,52,291,15489.03,10.24,4,E,DENY,51-60
A0494,31,852,12294.42,36.9,1,A,APPROVE,31-40
A0495,40,742,19752.44,25.32,2,B,APPROVE,31-40
A0496,53,731,9465.24,35.01,2,B,APPROVE,51-60
A0497,22,857,15569.57,17.43,0,A,APPROVE,18-30
A0498,26,646,17686.43,25.58,4,C,REVIEW,18-30
A0499,66,589,14221.61,39.27,3,C,REVIEW,61-70
A0500,25,871,9413.57,23.68,1,A,APPROVE,18-30
A0501,37,242,15564.7,19.39,0,E,DENY,31-40
A0502,45,453,5666.01,26.45,2,D,REVIEW,41-50
A0503,37,329,7895.94,33.69,4,E,DENY,31-40
A0504,23,259,11840.33,22.74,4,E,DENY,18-30
A0505,49,862,12357.37,42.56,0,A,APPROVE,41-50
A0506,53,666,2398.55,16.8,3,B,APPROVE,51-60
A0507,48,486,19012.06,24.02,2,D,REVIEW,41-50
A0508,41,716,14539.29,35.28,0,B,APPROVE,41-50
A0509,45,666,10922.67,32.56,3,B,APPROVE,41-50
A0510,33,544,18796.29,39.55,4,C,REVIEW,31-40
A0511,56,841,9903.72,44.87,1,A,APPROVE,51-60
A0512,54,581,19647.84,22.07,2,C,REVIEW,51-60
A0513,54,889,11221.13,9.45,2,A,APPROVE,51-60
A0514,64,452,4057.14,6.22,3,D,REVIEW,61-70
A0515,58,255,15766.42,34.08,0,E,DENY,51-60
A0516,33,662,14220.16,39.96,4,B,APPROVE,31-40
A0517,24,656,15913.76,13.83,3,B,APPROVE,18-30
A0518,22,282,19125.96,11.34,1,E,DENY,18-30
A0519,54,298,15976.81,7.49,1,E,DENY,51-60
A0520,61,348,13004.06,37.91,1,E,DENY,61-70
A0521,31,528,17431.56,17.46,3,C,REVIEW,31-40
A0522,64,355,14118.44,21.07,4,D,DENY,61-70
A0523,65,389,9346.14,25.11,2,D,DENY,61-70
A0524,50,693,17941.16,38.58,0,B,APPROVE,41-50
A0525,34,462,5994.21,31.03,2,D,REVIEW,31-40
A0526,33,279,14863.54,29.6,4,E,DENY,31-40
A0527,52,599,17868.14,12.03,2,C,REVIEW,51-60
A0528,67,808,15163.7,25.53,3,A,APPROVE,61-70
A0529,23,459,14550.96,33.62,1,D,REVIEW,18-30
A0530,56,814,15547.49,43.93,4,A,APPROVE,51-60
A0531,44,751,10370.99,13.06,4,B,APPROVE,41-50
A0532,38,300,17735.07,5.38,2,E,DENY,31-40
A0533,47,558,5661.86,8.01,3,C,REVIEW,41-50
A0534,29,579,4292.96,20.03,2,C,REVIEW,18-30
A0535,50,420,7139.16,37.82,2,D,REVIEW,41-50
A0536,47,619,11568.39,5.29,4,C,REVIEW,41-50
A0537,31,323,11190.11,23.27,2,E,DENY,31-40
A0538,47,621,16770.78,18.17,1,C,REVIEW,41-50
A0539,55,430,9282.24,7.1,2,D,REVIEW,51-60
A0540,62,889,10718.2,23.01,1,A,APPROVE,61-70
A0541,28,262,2240.62,15.19,4,E,DENY,18-30
A0542,25,684,9375.31,19.08,3,B,APPROVE,18-30
A0543,66,827,13659.94,33.22,1,A,APPROVE,61-70
A0544,32,902,2279.15,25.86,3,A,APPROVE,31-40
A0545,50,773,7055.88,9.99,3,B,APPROVE,41-50
A0546,57,682,5743.21,43.46,1,B,APPROVE,51-60
A0547,46,718,2755.74,30.44,4,B,APPROVE,41-50
A0548,42,354,10626.68,35.63,0,D,DENY,41-50
A0549,57,291,5271.02,8.17,3,E,DENY,51-60
A0550,31,725,15375.47,6.88,3,B,APPROVE,31-40
A0551,58,654,17262.7,5.78,4,B,APPROVE,51-60
A0552,30,940,11820.53,12.55,4,A,APPROVE,18-30
A0553,45,797,19670.73,21.58,2,B,APPROVE,41-50
A0554,56,844,10108.61,42.43,4,A,APPROVE,51-60
A0555,56,709,11240.63,23.28,3,B,APPROVE,51-60
A0556,69,382,19805.92,16.61,1,D,DENY,61-70
A0557,57,585,6167.87,27.48,0,C,REVIEW,51-60
A0558,39,773,18965.83,9.48,2,B,APPROVE,31-40
A0559,60,930,2771.08,29.38,1,A,APPROVE,51-60
A0560,53,604,10034.96,27.74,0,C,REVIEW,51-60
A0561,45,445,3260.06,36.68,0,D,REVIEW,41-50
A0562,44,941,15126.23,44.47,0,A,APPROVE,41-50
A0563,53,790,12951.36,15.03,1,B,APPROVE,51-60
A0564,58,860,14719.42,25.39,2,A,APPROVE,51-60
A0565,33,849,8740.65,41.35,2,A,APPROVE,31-40
A0566,34,670,8650.67,36.41,0,B,APPROVE,31-40
A0567,44,622,2815.75,24.5,1,C,REVIEW,41-50
A0568,46,264,8299.01,42.81,0,E,DENY,41-50
A0569,56,212,18727.19,7.29,4,E,DENY,51-60
A0570,62,412,8826.08,42.24,2,D,REVIEW,61-70
A0571,51,441,16964.62,7.02,3,D,REVIEW,51-60
A0572,38,692,17161.86,26.89,0,B,APPROVE,31-40
A0573,41,412,8718.34,40.62,4,D,REVIEW,41-50
A0574,69,892,13375.8,15.51,2,A,APPROVE,61-70
A0575,46,537,3716.69,23.89,1,C,REVIEW,41-50
A0576,43,372,3866.21,17.97,2,D,DENY,41-50
A0577,34,871,2875.84,43.09,1,A,APPROVE,31-40
A0578,40,363,12458.27,37.95,1,D,DENY,31-40
A0579,57,664,9669.28,33.36,0,B,APPROVE,51-60
A0580,33,696,11864.58,28.51,0,B,APPROVE,31-40
A0581,62,899,11379.32,37.82,2,A,APPROVE,61-70
A0582,40,594,8303.65,20.69,4,C,REVIEW,31-40
A0583,33,902,14194.52,22.9,2,A,APPROVE,31-40
A0584,30,507,15653.03,34.2,3,C,REVIEW,18-30
A0585,28,382,2263.31,19.31,1,D,DENY,18-30
A0586,49,828,5730.36,7.56,1,A,APPROVE,41-50
A0587,35,709,14838.25,7.97,0,B,APPROVE,31-40
A0588,52,907,8959.16,9.61,4,A,APPROVE,51-60
A0589,40,745,13924.71,39.79,0,B,APPROVE,31-40
A0590,68,763,8245.33,23.89,3,B,APPROVE,61-70
A0591,37,823,9033.59,33.52,2,A,APPROVE,31-40
A0592,26,793,4856.22,20.72,2,B,APPROVE,18-30
A0593,56,943,6648.16,15.35,4,A,APPROVE,51-60
A0594,33,426,12897.41,18.89,0,D,REVIEW,31-40
A0595,46,944,9796.94,36.77,0,A,APPROVE,41-50
A0596,42,932,15937.45,30.01,3,A,APPROVE,41-50
A0597,57,635,17346.53,42.51,2,C,REVIEW,51-60
A0598,44,621,11749.64,32.19,0,C,REVIEW,41-50
A0599,37,753,15648.81,27.81,4,B,APPROVE,31-40
A0600,60,220,7524.28,29.41,2,E,DENY,51-60
A0601,66,753,9469.48,42.69,3,B,APPROVE,61-70
A0602,63,596,14830.0,36.53,4,C,REVIEW,61-70
A0603,60,824,8951.82,5.96,1,A,APPROVE,51-60
A0604,35,304,12593.09,26.37,3,E,DENY,31-40
A0605,52,391,5336.71,32.53,4,D,DENY,51-60
A0606,26,216,12795.88,34.95,0,E,DENY,18-30
A0607,56,319,17507.25,13.53,1,E,DENY,51-60
A0608,44,592,17635.51,39.69,3,C,REVIEW,41-50
A0609,50,624,15038.2,43.23,0,C,REVIEW,41-50
A0610,64,328,15423.56,14.47,1,E,DENY,61-70
A0611,32,329,12042.69,40.3,2,E,DENY,31-40
A0612,39,771,12524.03,8.88,0,B,APPROVE,31-40
A0613,68,759,4405.71,7.23,4,B,APPROVE,61-70
A0614,33,228,9989.47,10.17,3,E,DENY,31-40
A0615,30,296,10113.97,7.31,1,E,DENY,18-30
A0616,31,209,19252.96,38.8,0,E,DENY,31-40
A0617,65,441,9759.56,7.36,2,D,REVIEW,61-70
A0618,38,431,11888.17,15.87,3,D,REVIEW,31-40
A0619,59,483,11598.53,9.15,3,D,REVIEW,51-60
A0620,28,914,13461.71,16.82,0,A,APPROVE,18-30
A0621,67,925,15468.19,8.62,2,A,APPROVE,61-70
A0622,34,399,6050.75,31.72,1,D,DENY,31-40
A0623,61,278,11517.04,10.33,0,E,DENY,61-70
A0624,63,372,16866.52,39.07,1,D,DENY,61-70
A0625,30,666,10336.06,37.69,3,B,APPROVE,18-30
A0626,48,780,7012.24,5.55,1,B,APPROVE,41-50
A0627,23,615,13784.76,40.83,2,C,REVIEW,18-30
A0628,26,648,16827.81,6.16,4,C,REVIEW,18-30
A0629,50,286,3136.53,14.59,2,E,DENY,41-50
A0630,58,300,15982.23,6.3,1,E,DENY,51-60
A0631,59,207,16789.66,18.43,0,E,DENY,51-60
A0632,40,399,10307.41,25.55,3,D,DENY,31-40
A0633,29,704,19699.5,36.87,4,B,APPROVE,18-30
A0634,69,286,16160.75,18.52,0,E,DENY,61-70
A0635,66,242,15925.93,33.22,0,E,DENY,61-70
A0636,22,584,15461.09,12.5,2,C,REVIEW,18-30
A0637,43,820,4710.95,35.02,1,A,APPROVE,41-50
A0638,38,634,5910.16,14.44,2,C,REVIEW,31-40
A0639,28,607,10351.82,10.74,1,C,REVIEW,18-30
A0640,46,682,6752.08,12.42,2,B,APPROVE,41-50
A0641,66,863,9474.34,12.28,0,A,APPROVE,61-70
A0642,25,216,17992.35,25.51,3,E,DENY,18-30
A0643,57,844,16837.88,38.79,1,A,APPROVE,51-60
A0644,27,347,13340.72,8.18,4,E,DENY,18-30
A0645,52,476,17446.17,33.28,4,D,REVIEW,51-60
A0646,40,431,16107.9,31.17,0,D,REVIEW,31-40
A0647,65,565,9721.73,39.9,2,C,REVIEW,61-70
A0648,60,427,5619.17,14.77,2,D,REVIEW,51-60
A0649,48,850,11255.62,23.0,0,A,APPROVE,41-50
A0650,31,635,15252.12,42.03,4,C,REVIEW,31-40
A0651,47,598,9855.55,31.4,4,C,REVIEW,41-50
A0652,40,410,14001.89,20.55,2,D,REVIEW,31-40
A0653,60,590,3697.89,10.26,1,C,REVIEW,51-60
A0654,24,698,15464.09,15.5,3,B,APPROVE,18-30
A0655,66,739,16628.85,28.25,1,B,APPROVE,61-70
A0656,34,762,14723.08,33.73,4,B,APPROVE,31-40
A0657,49,690,19410.74,9.98,1,B,APPROVE,41-50
A0658,41,641,16879.74,28.98,3,C,REVIEW,41-50
A0659,49,460,18255.69,27.01,1,D,REVIEW,41-50
A0660,29,549,18804.28,25.56,1,C,REVIEW,18-30
A0661,62,551,16424.26,32.6,1,C,REVIEW,61-70
A0662,60,719,14136.66,38.5,1,B,APPROVE,51-60
A0663,22,519,2102.93,17.92,0,C,REVIEW,18-30
A0664,24,337,10384.86,40.56,4,E,DENY,18-30
A0665,34,749,12280.92,11.43,3,B,APPROVE,31-40
A0666,49,822,7472.54,11.92,4,A,APPROVE,41-50
A0667,46,567,7725.88,15.67,0,C,REVIEW,41-50
A0668,54,419,19300.87,9.78,0,D,REVIEW,51-60
A0669,59,536,18050.8,14.21,0,C,REVIEW,51-60
A0670,27,422,17285.22,9.26,0,D,REVIEW,18-30
A0671,65,847,9308.21,37.87,1,A,APPROVE,61-70
A0672,66,559,2246.57,10.56,4,C,REVIEW,61-70
A0673,53,528,3444.0,34.89,2,C,REVIEW,51-60
A0674,66,662,7619.53,6.92,3,B,APPROVE,61-70
A0675,68,760,2283.37,42.94,0,B,APPROVE,61-70
A0676,42,581,2308.7,33.45,4,C,REVIEW,41-50
A0677,37,789,18498.86,5.27,0,B,APPROVE,31-40
A0678,42,816,14710.85,35.55,0,A,APPROVE,41-50
A0679,32,368,7561.21,25.56,0,D,DENY,31-40
A0680,58,416,4387.6,36.17,0,D,REVIEW,51-60
A0681,57,577,11209.44,25.9,0,C,REVIEW,51-60
A0682,56,318,2096.23,30.64,3,E,DENY,51-60
A0683,40,389,18891.45,36.45,4,D,DENY,31-40
A0684,41,569,9466.67,21.2,0,C,REVIEW,41-50
A0685,39,348,9242.03,5.11,0,E,DENY,31-40
A0686,68,875,9030.68,39.0,0,A,APPROVE,61-70
A0687,62,851,3247.91,20.24,0,A,APPROVE,61-70
A0688,35,687,13489.8,24.84,1,B,APPROVE,31-40
A0689,36,573,15194.07,5.31,1,C,REVIEW,31-40
A0690,52,892,14170.26,24.68,2,A,APPROVE,51-60
A0691,22,359,4491.84,44.46,0,D,DENY,18-30
A0692,24,550,12419.12,16.13,2,C,REVIEW,18-30
A0693,37,487,12250.72,20.82,3,D,REVIEW,31-40
A0694,44,487,17631.39,32.49,2,D,REVIEW,41-50
A0695,32,425,8824.3,37.59,4,D,REVIEW,31-40
A0696,33,722,8686.75,21.7,1,B,APPROVE,31-40
A0697,31,721,13133.49,17.39,1,B,APPROVE,31-40
A0698,53,472,13395.31,42.51,0,D,REVIEW,51-60
A0699,37,601,10447.13,32.09,0,C,REVIEW,31-40
A0700,29,382,9975.07,9.76,3,D,DENY,18-30
A0701,59,864,10894.66,7.76,3,A,APPROVE,51-60
A0702,33,687,17498.82,24.34,4,B,APPROVE,31-40
A0703,45,323,10301.0,13.8,0,E,DENY,41-50
A0704,49,825,18918.77,15.16,0,A,APPROVE,41-50
A0705,29,613,11072.07,40.11,3,C,REVIEW,18-30
A0706,49,924,19085.61,8.58,3,A,APPROVE,41-50
A0707,57,371,16990.97,33.61,3,D,DENY,51-60
A0708,47,487,8523.76,15.85,1,D,REVIEW,41-50
A0709,29,634,17545.55,35.41,2,C,REVIEW,18-30
A0710,49,885,3981.14,33.9,2,A,APPROVE,41-50
A0711,49,312,18650.85,5.3,0,E,DENY,41-50
A0712,58,321,13369.58,25.37,1,E,DENY,51-60
A0713,62,743,2979.03,10.57,3,B,APPROVE,61-70
A0714,57,421,13596.62,39.65,0,D,REVIEW,51-60
A0715,48,830,19536.46,39.86,1,A,APPROVE,41-50
A0716,38,238,3256.41,21.73,4,E,DENY,31-40
A0717,30,696,11984.38,22.78,1,B,APPROVE,18-30
A0718,54,432,15460.3,17.13,0,D,REVIEW,51-60
A0719,41,729,16584.65,33.66,2,B,APPROVE,41-50
A0720,34,348,9448.89,19.35,3,E,DENY,31-40
A0721,49,596,5675.0,15.71,4,C,REVIEW,41-50
A0722,69,860,2762.16,22.29,1,A,APPROVE,61-70
A0723,50,837,12435.07,8.66,0,A,APPROVE,41-50
A0724,34,501,10152.4,34.86,0,C,REVIEW,31-40
A0725,67,559,19077.4,5.5,3,C,REVIEW,61-70
A0726,56,437,3090.89,30.78,0,D,REVIEW,51-60
A0727,27,846,14337.12,12.31,0,A,APPROVE,18-30
A0728,39,862,2449.39,14.3,3,A,APPROVE,31-40
A0729,26,435,5085.82,30.43,4,D,REVIEW,18-30
A0730,68,935,10164.42,44.72,2,A,APPROVE,61-70
A0731,46,402,10187.7,36.11,2,D,REVIEW,41-50
A0732,23,455,14342.61,14.03,1,D,REVIEW,18-30
A0733,31,797,18383.83,12.04,4,B,APPROVE,31-40
A0734,51,861,13502.58,39.65,1,A,APPROVE,51-60
A0735,66,434,19163.63,22.77,2,D,REVIEW,61-70
A0736,26,544,17869.08,10.48,3,C,REVIEW,18-30
A0737,54,733,12521.0,39.49,0,B,APPROVE,51-60
A0738,22,665,17008.26,37.64,2,B,APPROVE,18-30
A0739,39,740,13566.4,44.36,4,B,APPROVE,31-40
A0740,53,412,3414.04,41.39,2,D,REVIEW,51-60
A0741,68,662,15330.17,39.07,4,B,APPROVE,61-70
A0742,32,635,3708.35,7.1,4,C,REVIEW,31-40
A0743,42,482,12693.49,9.18,4,D,REVIEW,41-50
A0744,47,761,14647.52,27.76,1,B,APPROVE,41-50
A0745,46,806,3197.5,26.26,3,A,APPROVE,41-50
A0746,43,662,6154.3,23.32,2,B,APPROVE,41-50
A0747,48,606,18482.1,20.87,3,C,REVIEW,41-50
A0748,34,287,13093.66,22.25,0,E,DENY,31-40
A0749,54,243,6433.15,27.77,2,E,DENY,51-60
A0750,55,660,14432.24,5.08,3,B,APPROVE,51-60
A0751,62,477,12741.98,15.43,3,D,REVIEW,61-70
A0752,56,882,11028.36,25.73,0,A,APPROVE,51-60
A0753,22,620,19571.37,33.89,4,C,REVIEW,18-30
A0754,42,900,14302.17,11.97,2,A,APPROVE,41-50
A0755,69,552,8757.94,26.88,2,C,REVIEW,61-70
A0756,27,895,16401.32,33.58,0,A,APPROVE,18-30
A0757,49,714,17922.5,22.79,4,B,APPROVE,41-50
A0758,38,902,4253.97,6.08,2,A,APPROVE,31-40
A0759,26,829,5609.95,22.97,2,A,APPROVE,18-30
A0760,52,218,5892.09,16.86,2,E,DENY,51-60
A0761,26,222,14441.81,42.19,4,E,DENY,18-30
A0762,59,612,12854.71,9.98,0,C,REVIEW,51-60
A0763,24,229,13141.85,31.1,2,E,DENY,18-30
A0764,44,307,18933.92,7.11,3,E,DENY,41-50
A0765,58,566,15966.41,22.85,4,C,REVIEW,51-60
A0766,58,480,4302.86,27.16,1,D,REVIEW,51-60
A0767,31,327,8255.13,16.92,0,E,DENY,31-40
A0768,31,428,9837.09,23.2,3,D,REVIEW,31-40
A0769,40,310,9127.31,11.54,2,E,DENY,31-40
A0770,38,335,14047.55,17.16,1,E,DENY,31-40
A0771,42,561,18054.08,29.84,0,C,REVIEW,41-50
A0772,35,385,7508.93,17.07,4,D,DENY,31-40
A0773,30,855,11933.79,40.99,1,A,APPROVE,18-30
A0774,67,783,16209.37,30.14,1,B,APPROVE,61-70
A0775,22,328,9491.93,22.55,3,E,DENY,18-30
A0776,66,460,5026.13,6.55,0,D,REVIEW,61-70
A0777,34,714,10549.12,24.98,3,B,APPROVE,31-40
A0778,25,648,2994.01,35.59,3,C,REVIEW,18-30
A0779,22,303,18962.9,15.62,2,E,DENY,18-30
A0780,61,682,3346.78,37.27,4,B,APPROVE,61-70
A0781,53,423,9892.22,15.07,1,D,REVIEW,51-60
A0782,55,690,11537.86,37.95,0,B,APPROVE,51-60
A0783,49,672,19735.47,8.41,4,B,APPROVE,41-50
A0784,52,209,4988.39,39.65,4,E,DENY,51-60
A0785,29,604,4059.77,24.97,0,C,REVIEW,18-30
A0786,60,501,2156.71,16.86,4,C,REVIEW,51-60
A0787,47,430,4800.29,15.6,2,D,REVIEW,41-50
A0788,55,930,5730.91,22.28,4,A,APPROVE,51-60
A0789,24,265,13350.46,44.96,2,E,DENY,18-30
A0790,33,311,5954.72,13.81,1,E,DENY,31-40
A0791,22,212,2369.37,9.13,1,E,DENY,18-30
A0792,65,592,16879.13,28.4,3,C,REVIEW,61-70
A0793,26,699,8580.72,24.54,2,B,APPROVE,18-30
A0794,51,797,8366.54,25.97,1,B,APPROVE,51-60
A0795,51,433,7444.62,31.68,4,D,REVIEW,51-60
A0796,38,801,19556.72,15.69,0,A,APPROVE,31-40
A0797,69,513,5062.08,41.43,0,C,REVIEW,61-70
A0798,68,765,18168.29,22.43,2,B,APPROVE,61-70
A0799,44,211,15982.46,10.16,3,E,DENY,41-50
A0800,36,408,3376.64,34.69,4,D,REVIEW,31-40
A0801,58,213,19761.12,30.72,2,E,DENY,51-60
A0802,42,832,6884.59,17.63,0,A,APPROVE,41-50
A0803,35,617,3774.49,29.86,2,C,REVIEW,31-40
A0804,23,636,16927.66,13.79,4,C,REVIEW,18-30
A0805,32,576,14720.16,22.79,1,C,REVIEW,31-40
A0806,60,219,13109.94,40.98,4,E,DENY,51-60
A0807,59,786,4807.66,10.34,1,B,APPROVE,51-60
A0808,55,934,10612.93,20.47,1,A,APPROVE,51-60
A0809,59,269,16050.01,37.85,1,E,DENY,51-60
A0810,55,410,7465.23,43.78,2,D,REVIEW,51-60
A0811,39,300,7610.42,23.16,0,E,DENY,31-40
A0812,51,897,2056.54,25.28,2,A,APPROVE,51-60
A0813,36,331,5136.38,27.89,0,E,DENY,31-40
A0814,48,822,17757.3,42.29,4,A,APPROVE,41-50
A0815,55,580,9951.44,39.33,3,C,REVIEW,51-60
A0816,59,331,19716.22,11.82,4,E,DENY,51-60
A0817,54,219,9122.74,22.47,2,E,DENY,51-60
A0818,45,735,14873.36,23.56,2,B,APPROVE,41-50
A0819,36,426,7074.54,36.56,0,D,REVIEW,31-40
A0820,51,353,8548.57,29.12,2,D,DENY,51-60
A0821,63,941,5433.07,31.17,1,A,APPROVE,61-70
A0822,38,668,8247.12,44.93,2,B,APPROVE,31-40
A0823,26,604,11850.28,8.0,0,C,REVIEW,18-30
A0824,50,401,19851.91,13.92,0,D,REVIEW,41-50
A0825,25,237,13955.63,21.32,1,E,DENY,18-30
A0826,31,387,5586.43,18.91,0,D,DENY,31-40
A0827,38,256,2809.31,5.87,3,E,DENY,31-40
A0828,31,219,4274.42,8.67,4,E,DENY,31-40
A0829,38,472,12125.99,32.24,2,D,REVIEW,31-40
A0830,41,318,15772.89,40.17,3,E,DENY,41-50
A0831,45,782,18927.55,25.57,2,B,APPROVE,41-50
A0832,26,715,2284.82,26.57,3,B,APPROVE,18-30
A0833,55,420,11409.68,15.2,2,D,REVIEW,51-60
A0834,27,725,10475.61,35.72,1,B,APPROVE,18-30
A0835,23,714,13808.99,35.07,0,B,APPROVE,18-30
A0836,34,927,12072.42,28.53,0,A,APPROVE,31-40
A0837,64,940,14366.7,13.51,1,A,APPROVE,61-70
A0838,64,535,13845.49,8.88,3,C,REVIEW,61-70
A0839,69,897,4106.21,7.57,4,A,APPROVE,61-70
A0840,32,254,16394.92,28.71,3,E,DENY,31-40
A0841,68,699,4218.19,38.0,0,B,APPROVE,61-70
A0842,44,735,14573.55,39.33,4,B,APPROVE,41-50
A0843,37,361,9490.62,23.54,2,D,DENY,31-40
A0844,52,869,11249.31,36.37,4,A,APPROVE,51-60
A0845,32,793,18259.36,42.88,3,B,APPROVE,31-40
A0846,37,358,18017.91,16.01,1,D,DENY,31-40
A0847,29,387,16721.41,20.92,2,D,DENY,18-30
A0848,25,259,11182.67,42.26,3,E,DENY,18-30
A0849,61,518,15252.32,18.53,2,C,REVIEW,61-70
A0850,25,410,11232.15,41.56,4,D,REVIEW,18-30
A0851,46,605,17652.91,44.24,0,C,REVIEW,41-50
A0852,24,863,9249.96,31.47,3,A,APPROVE,18-30
A0853,53,308,19464.24,37.68,1,E,DENY,51-60
A0854,24,275,18781.81,34.98,4,E,DENY,18-30
A0855,48,741,15348.85,32.98,3,B,APPROVE,41-50
A0856,50,513,7029.49,17.28,1,C,REVIEW,41-50
A0857,53,316,4369.76,7.28,3,E,DENY,51-60
A0858,40,903,17384.66,18.72,4,A,APPROVE,31-40
A0859,42,218,4975.44,31.68,3,E,DENY,41-50
A0860,26,631,17376.69,9.1,2,C,REVIEW,18-30
A0861,39,884,10833.77,5.48,4,A,APPROVE,31-40
A0862,49,939,9318.02,10.59,3,A,APPROVE,41-50
A0863,63,549,18257.43,33.63,0,C,REVIEW,61-70
A0864,43,382,12869.32,43.91,3,D,DENY,41-50
A0865,42,312,12379.05,44.32,2,E,DENY,41-50
A0866,27,382,12057.79,24.76,1,D,DENY,18-30
A0867,22,680,8681.05,39.77,1,B,APPROVE,18-30
A0868,26,345,16141.58,34.47,1,E,DENY,18-30
A0869,62,827,6550.37,25.04,0,A,APPROVE,61-70
A0870,33,312,18900.11,27.91,2,E,DENY,31-40
A0871,47,675,18091.73,10.49,4,B,APPROVE,41-50
A0872,67,502,8074.65,42.51,1,C,REVIEW,61-70
A0873,55,317,15130.35,19.08,2,E,DENY,51-60
A0874,35,360,12318.02,22.85,3,D,DENY,31-40
A0875,47,600,8077.69,31.87,0,C,REVIEW,41-50
A0876,66,397,19793.39,18.36,2,D,DENY,61-70
A0877,48,459,2454.27,15.17,2,D,REVIEW,41-50
A0878,30,859,6547.63,30.24,4,A,APPROVE,18-30
A0879,47,246,11361.33,6.0,2,E,DENY,41-50
A0880,68,598,11395.15,33.83,4,C,REVIEW,61-70
A0881,43,909,12600.8,25.56,0,A,APPROVE,41-50
A0882,68,758,15530.17,29.23,0,B,APPROVE,61-70
A0883,51,277,13222.6,30.28,3,E,DENY,51-60
A0884,64,323,12805.07,26.08,4,E,DENY,61-70
A0885,69,274,2963.26,28.3,4,E,DENY,61-70
A0886,38,336,8777.55,32.35,1,E,DENY,31-40
A0887,47,801,6177.0,35.12,1,A,APPROVE,41-50
A0888,57,599,6776.66,34.1,3,C,REVIEW,51-60
A0889,22,704,11978.07,39.78,0,B,APPROVE,18-30
A0890,29,699,5591.1,12.58,1,B,APPROVE,18-30
A0891,56,772,7291.08,21.05,2,B,APPROVE,51-60
A0892,36,337,6267.52,42.91,0,E,DENY,31-40
A0893,68,249,19073.05,20.86,2,E,DENY,61-70
A0894,43,818,19003.98,9.99,4,A,APPROVE,41-50
A0895,35,824,12978.95,26.02,0,A,APPROVE,31-40
A0896,47,453,18641.4,9.38,3,D,REVIEW,41-50
A0897,49,829,16144.63,13.11,4,A,APPROVE,41-50
A0898,44,909,12619.06,44.93,4,A,APPROVE,41-50
A0899,35,762,2115.83,26.65,2,B,APPROVE,31-40
A0900,45,625,15905.29,16.36,4,C,REVIEW,41-50
A0901,23,746,14644.79,44.79,1,B,APPROVE,18-30
A0902,66,501,13074.57,43.66,0,C,REVIEW,61-70
A0903,47,780,15687.64,22.63,1,B,APPROVE,41-50
A0904,35,548,11232.6,15.42,2,C,REVIEW,31-40
A0905,28,248,14673.5,38.54,2,E,DENY,18-30
A0906,24,273,18833.1,33.62,0,E,DENY,18-30
A0907,68,903,8764.49,32.48,4,A,APPROVE,61-70
A0908,44,460,14746.19,40.72,3,D,REVIEW,41-50
A0909,67,555,10562.38,32.58,2,C,REVIEW,61-70
A0910,64,781,14139.19,16.35,0,B,APPROVE,61-70
A0911,68,801,15732.08,32.75,3,A,APPROVE,61-70
A0912,66,459,2818.15,17.23,4,D,REVIEW,61-70
A0913,39,837,13638.81,35.37,2,A,APPROVE,31-40
